Device IP,TransactionID,Transaction Time,Location,Type,Purpose,Amount Spikes,Debited Amt,Credited Amt,Total Amt
49.207.45.128,TXN126614158,2016-02-27 20:18:27,Whitefield,Debit,Food & Drink,No,1167,0,74358
10.20.30.45,TXN604756065,2016-03-01 09:30:00,Indiranagar,Credit,Salary,No,0,52000,126358
49.207.45.128,TXN159878724,2016-03-04 12:51:18,Indiranagar,Debit,Fuel,Yes,4411,0,121947
49.207.45.128,TXN641316454,2016-03-04 15:19:17,MG Road,Debit,Transport,No,744,0,121203
49.207.45.128,TXN273984402,2016-03-06 14:33:06,Koramangala,Debit,Transport,No,417,0,120786
49.207.45.128,TXN739289911,2016-03-07 06:57:09,Indiranagar,Debit,Fuel,Yes,3841,0,116945
49.207.45.128,TXN100498628,2016-03-08 08:06:53,Koramangala,Debit,Fuel,No,1913,0,115032
192.168.1.105,TXN166015826,2016-03-09 06:55:16,Indiranagar,Debit,Groceries,Yes,8106,0,106926
49.207.45.128,TXN792081534,2016-03-09 12:02:47,Indiranagar,Debit,Groceries,No,2320,0,104606
192.168.1.105,TXN436792410,2016-03-09 20:38:16,MG Road,Debit,Entertainment,No,3495,0,101111
49.207.45.128,TXN571501398,2016-03-12 13:15:29,Indiranagar,Debit,Food & Drink,No,802,0,100309
172.16.11.35,TXN729567292,2016-03-13 10:12:23,Malleshwaram,Debit,Food & Drink,No,1602,0,98707
49.207.45.128,TXN324920321,2016-03-16 13:22:14,MG Road,Debit,Fuel,No,1476,0,97231
172.16.10.22,TXN908127911,2016-03-17 10:16:24,MG Road,Debit,Food & Drink,No,1320,0,95911
192.168.1.105,TXN228043768,2016-03-17 12:57:12,Koramangala,Credit,Cashback,No,0,1585,97496
172.19.8.90,TXN907572787,2016-03-17 22:56:27,Koramangala,Debit,Entertainment,No,1345,0,96151
172.16.10.22,TXN753386934,2016-03-20 19:39:07,MG Road,Debit,Food & Drink,No,1391,0,94760
192.168.1.105,TXN563390228,2016-03-21 16:21:45,Whitefield,Debit,Healthcare,No,2203,0,92557
49.207.45.128,TXN815220785,2016-03-23 10:21:59,Indiranagar,Debit,Fuel,No,1433,0,91124
49.207.45.128,TXN987465944,2016-03-23 19:12:53,MG Road,Debit,Transport,No,351,0,90773
192.168.1.105,TXN243050433,2016-03-24 20:55:10,Whitefield,Debit,Healthcare,No,2659,0,88114
49.207.45.128,TXN371036431,2016-03-25 08:07:14,Whitefield,Credit,Gift Money,No,0,948,89062
49.207.45.128,TXN565848785,2016-03-26 07:37:57,Rajajinagar,Credit,Refund,No,0,807,89869
192.168.1.105,TXN271814226,2016-03-27 18:11:32,Koramangala,Credit,Product Return,No,0,1662,91531
10.20.30.45,TXN490220423,2016-03-29 13:20:22,Indiranagar,Credit,Refund,No,0,899,92430
192.168.1.105,TXN857100773,2016-03-29 22:20:49,MG Road,Debit,Groceries,No,3179,0,89251
192.168.1.105,TXN970006310,2016-03-31 23:24:59,HSR Layout,Credit,Product Return,No,0,766,90017
10.20.30.45,TXN226308805,2016-04-01 09:30:00,Whitefield,Credit,Salary,No,0,53000,143017
49.207.45.128,TXN727066438,2016-04-04 14:02:51,Whitefield,Debit,Transport,Yes,1501,0,141516
10.20.30.45,TXN977326756,2016-04-05 09:37:17,MG Road,Credit,Gift Money,No,0,1658,143174
49.207.45.128,TXN215693755,2016-04-06 18:50:37,HSR Layout,Credit,Refund,No,0,751,143925
49.207.45.128,TXN452820494,2016-04-11 11:57:58,Whitefield,Debit,Fuel,Yes,1844,0,142081
49.207.45.128,TXN121570833,2016-04-11 23:51:08,MG Road,Debit,Healthcare,No,2277,0,139804
192.168.1.105,TXN711326792,2016-04-15 11:12:45,Whitefield,Credit,Refund,No,0,1021,140825
49.207.45.128,TXN689226332,2016-04-16 14:18:15,MG Road,Debit,Fuel,Yes,5490,0,135335
49.207.45.128,TXN234833343,2016-04-17 14:04:29,Indiranagar,Credit,Cashback,No,0,928,136263
49.207.45.128,TXN126770576,2016-04-17 17:01:38,Koramangala,Debit,Fuel,No,1853,0,134410
172.16.11.35,TXN670329483,2016-04-18 10:41:20,MG Road,Debit,Food & Drink,No,1525,0,132885
49.207.45.128,TXN397356375,2016-04-18 12:54:51,MG Road,Debit,Transport,No,376,0,132509
172.16.10.22,TXN412625567,2016-04-19 07:16:24,MG Road,Debit,Food & Drink,No,1183,0,131326
49.207.45.128,TXN831371617,2016-04-20 15:18:43,BTM Layout,Debit,Groceries,No,2369,0,128957
192.168.1.105,TXN799049615,2016-04-21 16:12:49,HSR Layout,Debit,Entertainment,Yes,4648,0,124309
49.207.45.128,TXN622103417,2016-04-22 14:42:54,Indiranagar,Debit,Transport,No,786,0,123523
49.207.45.128,TXN644992730,2016-04-22 18:44:04,Whitefield,Debit,Fuel,No,1054,0,122469
49.207.45.128,TXN295598874,2016-04-22 22:24:47,Whitefield,Debit,Fuel,No,1272,0,121197
192.168.1.105,TXN251508680,2016-04-23 12:29:41,MG Road,Debit,Groceries,No,3833,0,117364
49.207.45.128,TXN402493178,2016-04-26 08:32:14,Koramangala,Debit,Healthcare,No,2789,0,114575
192.168.1.105,TXN820531246,2016-04-26 10:06:27,Indiranagar,Debit,Entertainment,No,2047,0,112528
10.20.30.45,TXN639348144,2016-04-28 09:14:48,Indiranagar,Credit,Product Return,No,0,587,113115
49.207.45.128,TXN784588245,2016-04-28 12:16:26,Whitefield,Debit,Food & Drink,No,510,0,112605
10.20.30.45,TXN799812679,2016-05-01 09:30:00,Indiranagar,Credit,Salary,No,0,54000,166605
49.207.45.128,TXN659449764,2016-05-06 12:52:20,MG Road,Debit,Transport,Yes,1656,0,164949
49.207.45.128,TXN851298185,2016-05-07 16:41:09,Jayanagar,Debit,Fuel,No,1066,0,163883
172.18.5.67,TXN926450540,2016-05-09 20:01:46,Whitefield,Debit,Food & Drink,No,687,0,163196
172.18.5.67,TXN302726646,2016-05-09 21:25:18,MG Road,Debit,Food & Drink,No,1713,0,161483
49.207.45.128,TXN615495831,2016-05-09 21:45:22,MG Road,Debit,Transport,No,266,0,161217
49.207.45.128,TXN629569946,2016-05-10 17:49:53,BTM Layout,Debit,Food & Drink,No,1448,0,159769
192.168.1.105,TXN454389146,2016-05-12 19:12:44,Whitefield,Debit,Entertainment,No,1714,0,158055
49.207.45.128,TXN568972281,2016-05-13 07:16:41,MG Road,Debit,Food & Drink,No,1284,0,156771
49.207.45.128,TXN748073064,2016-05-14 21:17:17,Koramangala,Credit,Product Return,No,0,1426,158197
49.207.45.128,TXN860923263,2016-05-15 21:18:18,Koramangala,Debit,Fuel,Yes,5716,0,152481
49.207.45.128,TXN651855699,2016-05-16 09:14:35,Whitefield,Debit,Fuel,No,1380,0,151101
49.207.45.128,TXN251383216,2016-05-16 21:27:19,Koramangala,Debit,Healthcare,No,2131,0,148970
172.19.8.90,TXN355943782,2016-05-16 22:47:08,Koramangala,Debit,Entertainment,No,1734,0,147236
49.207.45.128,TXN678909640,2016-05-18 10:19:04,Whitefield,Debit,Transport,No,533,0,146703
192.168.1.105,TXN933076776,2016-05-19 13:08:47,Whitefield,Credit,Refund,No,0,1204,147907
49.207.45.128,TXN324281047,2016-05-20 08:39:03,Whitefield,Debit,Fuel,Yes,2862,0,145045
49.207.45.128,TXN941900525,2016-05-20 20:59:56,Koramangala,Credit,Product Return,No,0,736,145781
49.207.45.128,TXN794909981,2016-05-25 10:26:24,Indiranagar,Debit,Groceries,No,4026,0,141755
192.168.1.105,TXN114893764,2016-05-25 12:57:09,Indiranagar,Credit,Gift Money,No,0,636,142391
192.168.1.105,TXN269112109,2016-05-26 06:31:39,Whitefield,Debit,Groceries,Yes,5423,0,136968
10.20.30.45,TXN719590739,2016-05-26 09:13:51,MG Road,Credit,Gift Money,No,0,1870,138838
49.207.45.128,TXN965527985,2016-05-26 11:09:36,Indiranagar,Debit,Groceries,No,2084,0,136754
49.207.45.128,TXN770013599,2016-05-26 19:34:31,MG Road,Debit,Fuel,No,1529,0,135225
192.168.1.105,TXN434415993,2016-05-29 19:06:40,MG Road,Credit,Refund,No,0,835,136060
172.19.8.90,TXN793840256,2016-05-30 15:54:14,Rajajinagar,Debit,Entertainment,No,2418,0,133642
49.207.45.128,TXN105005883,2016-05-31 17:21:30,MG Road,Debit,Fuel,No,1052,0,132590
10.20.30.45,TXN508874059,2016-06-01 09:30:00,Indiranagar,Credit,Salary,No,0,55000,187590
49.207.45.128,TXN243915657,2016-06-02 08:01:19,Indiranagar,Debit,Fuel,No,1320,0,186270
192.168.1.105,TXN482681797,2016-06-03 18:58:14,Indiranagar,Debit,Groceries,No,4097,0,182173
49.207.45.128,TXN885112905,2016-06-03 21:17:34,Indiranagar,Debit,Fuel,No,1890,0,180283
49.207.45.128,TXN156916894,2016-06-08 07:42:26,MG Road,Debit,Groceries,No,4287,0,175996
49.207.45.128,TXN473956520,2016-06-11 08:51:49,HSR Layout,Debit,Transport,No,688,0,175308
192.168.1.105,TXN457960827,2016-06-11 18:45:59,Malleshwaram,Credit,Refund,No,0,608,175916
192.168.1.105,TXN777810352,2016-06-12 11:28:42,Indiranagar,Credit,Gift Money,No,0,667,176583
49.207.45.128,TXN822923054,2016-06-14 14:23:57,MG Road,Debit,Healthcare,No,773,0,175810
49.207.45.128,TXN905253695,2016-06-14 15:08:32,Rajajinagar,Debit,Transport,Yes,1407,0,174403
49.207.45.128,TXN276842511,2016-06-17 10:40:46,Indiranagar,Debit,Groceries,No,3790,0,170613
49.207.45.128,TXN617193510,2016-06-17 20:06:08,Indiranagar,Debit,Fuel,No,1820,0,168793
49.207.45.128,TXN117341008,2016-06-18 15:29:39,BTM Layout,Debit,Fuel,No,1186,0,167607
49.207.45.128,TXN648574310,2016-06-19 19:17:52,MG Road,Credit,Gift Money,No,0,1360,168967
49.207.45.128,TXN504183537,2016-06-20 12:48:55,Indiranagar,Credit,Cashback,No,0,738,169705
172.16.10.22,TXN571798369,2016-06-20 14:13:24,Koramangala,Debit,Food & Drink,No,323,0,169382
10.20.30.45,TXN149806664,2016-06-20 22:50:31,Indiranagar,Credit,Refund,No,0,943,170325
49.207.45.128,TXN453863598,2016-06-22 19:48:42,Indiranagar,Debit,Entertainment,Yes,6638,0,163687
172.19.8.90,TXN647014397,2016-06-24 08:27:21,MG Road,Debit,Entertainment,No,3489,0,160198
49.207.45.128,TXN605557617,2016-06-24 22:06:52,Koramangala,Debit,Fuel,No,1602,0,158596
192.168.1.105,TXN237267266,2016-06-25 18:23:59,MG Road,Debit,Entertainment,No,1051,0,157545
172.16.11.35,TXN939579437,2016-06-27 06:44:54,MG Road,Debit,Food & Drink,Yes,2962,0,154583
172.16.11.35,TXN745995597,2016-06-30 09:38:17,Whitefield,Debit,Food & Drink,No,763,0,153820
10.20.30.45,TXN197993031,2016-07-01 09:30:00,Koramangala,Credit,Salary,No,0,56000,209820
192.168.1.105,TXN274931253,2016-07-02 14:46:55,Koramangala,Debit,Groceries,No,4295,0,205525
49.207.45.128,TXN894434629,2016-07-02 15:42:47,Koramangala,Debit,Groceries,No,2667,0,202858
49.207.45.128,TXN155236424,2016-07-02 22:43:46,MG Road,Credit,Product Return,No,0,166,203024
192.168.1.105,TXN699803683,2016-07-04 21:57:16,MG Road,Debit,Entertainment,Yes,3397,0,199627
49.207.45.128,TXN116967083,2016-07-05 12:46:32,MG Road,Debit,Entertainment,No,1313,0,198314
49.207.45.128,TXN121957918,2016-07-05 20:40:28,MG Road,Debit,Fuel,No,1212,0,197102
49.207.45.128,TXN936739109,2016-07-06 11:51:19,Whitefield,Debit,Fuel,Yes,2799,0,194303
49.207.45.128,TXN656125329,2016-07-07 17:32:17,MG Road,Debit,Transport,No,660,0,193643
49.207.45.128,TXN299562486,2016-07-09 06:03:11,MG Road,Credit,Product Return,No,0,220,193863
49.207.45.128,TXN560798038,2016-07-09 23:46:50,Koramangala,Debit,Fuel,No,853,0,193010
49.207.45.128,TXN420689464,2016-07-10 10:29:43,Whitefield,Debit,Fuel,Yes,2402,0,190608
49.207.45.128,TXN256500720,2016-07-15 07:03:14,MG Road,Debit,Transport,No,458,0,190150
192.168.1.105,TXN278012436,2016-07-15 14:55:45,HSR Layout,Debit,Groceries,No,3690,0,186460
49.207.45.128,TXN288086624,2016-07-16 21:44:28,Indiranagar,Debit,Fuel,No,1932,0,184528
192.168.1.105,TXN573162068,2016-07-17 17:13:55,MG Road,Credit,Refund,No,0,1415,185943
172.18.5.67,TXN861348574,2016-07-18 13:13:54,Koramangala,Debit,Food & Drink,No,830,0,185113
192.168.1.105,TXN906007520,2016-07-19 21:07:00,MG Road,Debit,Entertainment,No,2800,0,182313
192.168.1.105,TXN600253696,2016-07-20 11:48:02,MG Road,Debit,Healthcare,No,2539,0,179774
172.16.11.35,TXN890335480,2016-07-21 15:08:37,Indiranagar,Debit,Food & Drink,No,740,0,179034
192.168.1.105,TXN161142622,2016-07-23 06:56:03,MG Road,Debit,Healthcare,No,1242,0,177792
10.20.30.45,TXN921331354,2016-07-23 10:49:02,BTM Layout,Credit,Cashback,No,0,224,178016
172.18.5.67,TXN711755476,2016-07-25 10:33:10,MG Road,Debit,Food & Drink,No,1482,0,176534
192.168.1.105,TXN402127974,2016-07-25 22:56:48,Indiranagar,Credit,Cashback,No,0,763,177297
49.207.45.128,TXN263762651,2016-07-26 06:04:12,HSR Layout,Debit,Transport,No,429,0,176868
49.207.45.128,TXN256496381,2016-07-30 22:40:01,MG Road,Debit,Food & Drink,No,1324,0,175544
10.20.30.45,TXN426680474,2016-08-01 09:30:00,MG Road,Credit,Salary,No,0,57000,232544
49.207.45.128,TXN831787991,2016-08-02 15:09:06,MG Road,Debit,Transport,No,728,0,231816
49.207.45.128,TXN558864320,2016-08-03 16:44:17,Malleshwaram,Debit,Groceries,No,4238,0,227578
49.207.45.128,TXN575289714,2016-08-03 22:49:08,Whitefield,Credit,Gift Money,No,0,628,228206
49.207.45.128,TXN367635815,2016-08-04 18:56:28,MG Road,Debit,Transport,No,308,0,227898
49.207.45.128,TXN162153338,2016-08-06 15:52:33,Indiranagar,Debit,Groceries,No,2969,0,224929
172.19.8.90,TXN297894998,2016-08-08 07:18:04,Whitefield,Debit,Entertainment,Yes,4269,0,220660
10.20.30.45,TXN493504893,2016-08-12 13:33:52,Koramangala,Credit,Gift Money,No,0,1116,221776
172.16.10.22,TXN365372080,2016-08-14 11:24:12,Malleshwaram,Debit,Food & Drink,No,1280,0,220496
49.207.45.128,TXN195007390,2016-08-16 17:49:18,MG Road,Debit,Fuel,No,1009,0,219487
49.207.45.128,TXN488039169,2016-08-17 13:22:10,MG Road,Debit,Transport,Yes,1294,0,218193
49.207.45.128,TXN964811926,2016-08-17 18:38:18,Whitefield,Debit,Fuel,Yes,3545,0,214648
49.207.45.128,TXN470713034,2016-08-17 23:38:12,Indiranagar,Debit,Fuel,No,1842,0,212806
49.207.45.128,TXN390416234,2016-08-18 06:15:23,Whitefield,Debit,Entertainment,No,3108,0,209698
49.207.45.128,TXN271194889,2016-08-18 13:02:45,Whitefield,Debit,Healthcare,No,2393,0,207305
49.207.45.128,TXN681151371,2016-08-19 15:05:40,Whitefield,Credit,Product Return,No,0,1116,208421
49.207.45.128,TXN839888942,2016-08-19 21:18:52,Koramangala,Debit,Fuel,No,1398,0,207023
10.20.30.45,TXN282755184,2016-08-20 06:03:05,Indiranagar,Credit,Refund,No,0,521,207544
49.207.45.128,TXN382829795,2016-08-21 11:42:15,Indiranagar,Debit,Entertainment,No,3284,0,204260
49.207.45.128,TXN727122667,2016-08-24 06:09:09,MG Road,Debit,Food & Drink,No,1004,0,203256
172.18.5.67,TXN681059057,2016-08-24 06:37:27,Jayanagar,Debit,Food & Drink,No,1540,0,201716
49.207.45.128,TXN188690913,2016-08-25 17:06:50,Indiranagar,Debit,Fuel,No,820,0,200896
10.20.30.45,TXN979814950,2016-08-29 14:32:33,MG Road,Credit,Product Return,No,0,1452,202348
49.207.45.128,TXN743126502,2016-08-30 07:57:23,Whitefield,Credit,Refund,No,0,1641,203989
49.207.45.128,TXN181096741,2016-08-30 08:01:23,MG Road,Debit,Fuel,No,1514,0,202475
192.168.1.105,TXN310610205,2016-08-30 22:44:23,Malleshwaram,Debit,Healthcare,No,2416,0,200059
10.20.30.45,TXN766207149,2016-09-01 09:30:00,MG Road,Credit,Salary,No,0,58000,258059
172.16.10.22,TXN194899546,2016-09-02 08:22:08,MG Road,Debit,Food & Drink,No,867,0,257192
49.207.45.128,TXN255294827,2016-09-02 11:51:55,MG Road,Debit,Groceries,No,2060,0,255132
49.207.45.128,TXN476182947,2016-09-03 09:15:00,Indiranagar,Debit,Food & Drink,No,1263,0,253869
49.207.45.128,TXN129890349,2016-09-03 09:42:11,Whitefield,Debit,Fuel,Yes,2579,0,251290
49.207.45.128,TXN346363187,2016-09-03 21:53:17,MG Road,Debit,Fuel,No,1905,0,249385
49.207.45.128,TXN724866003,2016-09-04 10:12:17,Koramangala,Debit,Groceries,No,2726,0,246659
192.168.1.105,TXN969119352,2016-09-05 12:36:53,MG Road,Debit,Entertainment,No,3161,0,243498
49.207.45.128,TXN213719454,2016-09-06 10:13:05,Jayanagar,Debit,Fuel,No,2037,0,241461
10.20.30.45,TXN201524907,2016-09-07 21:25:06,Whitefield,Credit,Product Return,No,0,1027,242488
49.207.45.128,TXN501645419,2016-09-09 13:53:00,Jayanagar,Debit,Healthcare,No,858,0,241630
49.207.45.128,TXN850325217,2016-09-10 21:26:58,Whitefield,Debit,Transport,No,793,0,240837
172.18.5.67,TXN615039655,2016-09-11 22:59:40,MG Road,Debit,Food & Drink,Yes,2309,0,238528
192.168.1.105,TXN666964638,2016-09-12 06:13:26,Jayanagar,Debit,Healthcare,No,855,0,237673
192.168.1.105,TXN109996542,2016-09-12 15:55:52,MG Road,Credit,Refund,No,0,1294,238967
49.207.45.128,TXN695572774,2016-09-14 13:36:26,Indiranagar,Debit,Transport,Yes,1028,0,237939
185.220.101.47,TXN835918142,2016-09-15 03:27:14,Unknown,Debit,Fraud Transaction,Yes,237939,0,0
10.20.30.45,TXN660345965,2016-09-20 20:56:07,MG Road,Credit,Refund,No,0,559,559
10.20.30.45,TXN652077481,2016-10-01 09:30:00,Indiranagar,Credit,Salary,No,0,59000,59559
49.207.45.128,TXN423784740,2016-10-03 11:07:49,Whitefield,Debit,Fuel,No,1471,0,58088
192.168.1.105,TXN604827271,2016-10-03 15:31:21,Indiranagar,Debit,Groceries,No,4039,0,54049
10.20.30.45,TXN141804342,2016-10-06 08:11:40,Whitefield,Credit,Cashback,No,0,1388,55437
10.20.30.45,TXN714506459,2016-10-09 08:16:31,Indiranagar,Credit,Product Return,No,0,1323,56760
49.207.45.128,TXN980853128,2016-10-09 20:52:20,Indiranagar,Debit,Fuel,No,1903,0,54857
49.207.45.128,TXN120774723,2016-10-11 13:10:34,BTM Layout,Debit,Transport,Yes,577,0,54280
49.207.45.128,TXN963891554,2016-10-12 14:32:25,Koramangala,Debit,Transport,No,471,0,53809
192.168.1.105,TXN340956118,2016-10-12 19:35:26,Koramangala,Debit,Groceries,No,2882,0,50927
49.207.45.128,TXN839225244,2016-10-15 17:49:53,Whitefield,Debit,Healthcare,No,1832,0,49095
192.168.1.105,TXN590710929,2016-10-17 14:58:11,Whitefield,Debit,Healthcare,No,1931,0,47164
172.19.8.90,TXN991962408,2016-10-20 19:37:32,Indiranagar,Debit,Entertainment,No,1248,0,45916
172.16.11.35,TXN426738348,2016-10-21 08:01:58,Koramangala,Debit,Food & Drink,Yes,1398,0,44518
49.207.45.128,TXN796582739,2016-10-21 21:46:56,MG Road,Debit,Fuel,No,2057,0,42461
49.207.45.128,TXN669567140,2016-10-22 10:09:01,MG Road,Debit,Fuel,No,2171,0,40290
192.168.1.105,TXN256359686,2016-10-22 11:01:29,Whitefield,Credit,Product Return,No,0,1589,41879
172.18.5.67,TXN216756501,2016-10-23 13:43:57,Indiranagar,Debit,Food & Drink,No,1286,0,40593
172.16.10.22,TXN870139820,2016-10-25 09:13:55,Indiranagar,Debit,Food & Drink,No,1322,0,39271
172.19.8.90,TXN557632095,2016-10-27 10:25:34,Whitefield,Debit,Entertainment,No,1844,0,37427
172.16.10.22,TXN373921437,2016-10-29 07:02:36,MG Road,Debit,Food & Drink,No,776,0,36651
49.207.45.128,TXN429860609,2016-10-29 16:08:18,BTM Layout,Debit,Groceries,No,4180,0,32471
49.207.45.128,TXN648130310,2016-10-31 16:33:51,Indiranagar,Debit,Fuel,No,1964,0,30507
10.20.30.45,TXN306388222,2016-11-01 09:30:00,Whitefield,Credit,Salary,No,0,60000,90507
172.18.5.67,TXN914712075,2016-11-02 09:26:36,Koramangala,Debit,Food & Drink,No,896,0,89611
172.16.11.35,TXN514716043,2016-11-05 20:56:39,Whitefield,Debit,Food & Drink,No,1142,0,88469
192.168.1.105,TXN515796895,2016-11-07 14:12:10,Koramangala,Debit,Entertainment,No,2175,0,86294
49.207.45.128,TXN722552330,2016-11-08 13:55:00,Whitefield,Credit,Cashback,No,0,602,86896
192.168.1.105,TXN115050358,2016-11-08 22:02:17,Koramangala,Debit,Groceries,No,3738,0,83158
192.168.1.105,TXN760451094,2016-11-12 06:01:22,Koramangala,Debit,Healthcare,No,1478,0,81680
172.18.5.67,TXN826868584,2016-11-13 06:39:04,Whitefield,Debit,Food & Drink,No,1485,0,80195
49.207.45.128,TXN547239180,2016-11-14 14:16:50,Koramangala,Debit,Groceries,Yes,7879,0,72316
49.207.45.128,TXN690953990,2016-11-15 10:58:43,Whitefield,Debit,Fuel,No,1234,0,71082
49.207.45.128,TXN315051021,2016-11-15 23:43:11,Koramangala,Debit,Fuel,No,2032,0,69050
172.16.10.22,TXN350038887,2016-11-18 20:06:29,Whitefield,Debit,Food & Drink,No,1113,0,67937
192.168.1.105,TXN153351826,2016-11-20 09:11:39,Indiranagar,Debit,Entertainment,No,2752,0,65185
49.207.45.128,TXN326534191,2016-11-21 15:37:22,Whitefield,Debit,Fuel,No,2417,0,62768
49.207.45.128,TXN820153721,2016-11-23 07:16:40,Koramangala,Debit,Fuel,Yes,2892,0,59876
49.207.45.128,TXN333559831,2016-11-23 12:05:21,Koramangala,Debit,Transport,No,307,0,59569
49.207.45.128,TXN227043060,2016-11-23 20:45:05,Indiranagar,Debit,Transport,No,780,0,58789
10.20.30.45,TXN912557634,2016-11-24 18:45:01,MG Road,Credit,Product Return,No,0,1340,60129
192.168.1.105,TXN672179774,2016-11-25 22:39:08,Whitefield,Debit,Entertainment,No,1244,0,58885
49.207.45.128,TXN369256502,2016-11-26 15:42:29,HSR Layout,Debit,Fuel,No,1307,0,57578
49.207.45.128,TXN422509057,2016-11-29 08:02:02,Whitefield,Credit,Product Return,No,0,741,58319
49.207.45.128,TXN924680622,2016-11-30 18:53:27,Koramangala,Debit,Groceries,No,2783,0,55536
10.20.30.45,TXN742569265,2016-12-01 09:30:00,Whitefield,Credit,Salary,No,0,61000,116536
10.20.30.45,TXN355226775,2016-12-03 14:10:09,HSR Layout,Credit,Gift Money,No,0,648,117184
